Name,Symptoms
Abdominal aortic aneurysm|Aneurisma aorta abdominal,['nausea or pulsating abdominal mass|mual atau massa perut yang berdenyut']
Acne|Jerawat,"['Whiteheads (closed plugged pores)|Komedo putih (pori-pori tersumbat tertutup)', 'Blackheads (open plugged pores)|Komedo (pori-pori tersumbat terbuka)', 'Small red, tender bumps (papules)|Benjolan kecil berwarna merah dan lembut (papula)']"
Acute cholecystitis|Kolesistitis akut,"['Severe pain in your upper right or center abdomen|Nyeri hebat di perut kanan atas atau tengah', 'Pain that spreads to your right shoulder or back|Nyeri yang menyebar ke bahu kanan atau punggung', ""Tenderness over your abdomen when it's touched|Nyeri pada perut Anda saat disentuh"", 'Nausea|Mual', 'Vomiting|Muntah', 'Fever|Demam', 'clay-colored stool|bangku berwarna tanah liat', 'vomiting|muntah', 'nausea|mual', 'fever|demam', 'pain, typically after a meal|nyeri, biasanya setelah makan', 'chills|panas dingin', 'abdominal bloating|perut kembung']"
Acute lymphoblastic leukaemia|Leukemia limfoblastik akut,"['Bleeding from the gums|Pendarahan dari gusi', 'Bone pain|Sakit tulang', 'Fever|Demam', 'Frequent infections|Infeksi yang sering', 'Frequent or severe nosebleeds|Mimisan yang sering atau parah', 'Pale skin|Kulit pucat', 'Shortness of breath|Sesak napas']"
Acute lymphoblastic leukaemia: Children|Leukemia limfoblastik akut: Anak-anak,"['Frequent infections|Infeksi yang sering', 'Fever|Demam', 'Easy bruising|Mudah memar', 'Bleeding that is hard to stop|Pendarahan yang sulit dihentikan', 'Pain in the bones or joints|Nyeri pada tulang atau persendian', 'Lumps in the neck, underarm, stomach or groin|Benjolan di leher, ketiak, perut, atau selangkangan', 'Pain or fullness below the ribs|Nyeri atau rasa penuh di bawah tulang rusuk', 'Anemia |Anemia', 'Bleeding and/or bruising |Pendarahan dan / atau memar', 'Bone and joint pain |Nyeri tulang dan sendi', 'Recurrent fevers/infections |Demam / infeksi berulang', 'Abdominal pain |Sakit perut', 'Swollen lymph nodes |Kelenjar getah bening membengkak', 'Difficulty breathing|Sulit bernafas']"
Acute myeloid leukaemia|Leukemia myeloid akut,"['skin looking pale or ""washed out""|kulit tampak pucat atau ""luntur""', 'tiredness|kelelahan', 'breathlessness|sesak napas', 'sweating a lot|banyak berkeringat', 'losing weight without trying|menurunkan berat badan tanpa mencoba', 'frequent infections|infeksi yang sering terjadi']"
Acute myeloid leukaemia: Children|Leukemia myeloid akut: Anak-anak,"['Fever|Demam', 'Infection|Infeksi', 'Easy bruising and bleeding|Mudah memar dan berdarah', 'Frequent nosebleeds|Sering mimisan', 'Pain in bones or joints|Nyeri pada tulang atau persendian', 'Swollen glands|Kelenjar bengkak', 'Poor appetite|Nafsu makan buruk']"
Acute pancreatitis|Pankreatitis akut,"['Upper abdominal pain|Nyeri perut bagian atas', 'Abdominal pain that radiates to your back|Sakit perut yang menjalar ke punggung Anda', 'Abdominal pain that feels worse after eating|Sakit perut yang terasa semakin parah setelah makan', 'Fever|Demam', 'Rapid pulse|Denyut nadi cepat', 'Nausea|Mual', 'Vomiting|Muntah', 'Tenderness when touching the abdomen|Nyeri saat menyentuh perut']"
Addison's disease|penyakit Addison,"['Extreme fatigue|Kelelahan yang ekstrim', 'Weight loss and decreased appetite|Penurunan berat badan dan penurunan nafsu makan', 'Darkening of your skin (hyperpigmentation)|Kulit Anda menjadi gelap (hiperpigmentasi)', 'Low blood pressure, even fainting|Tekanan darah rendah, bahkan sampai pingsan', 'Salt craving|Mengidam garam', 'Low blood sugar (hypoglycemia)|Gula darah rendah (hipoglikemia)', 'Abdominal pain|Sakit perut']"
Alcohol-related liver disease|Penyakit hati terkait alkohol,"['feeling sick|merasa sakit', 'weight loss|penurunan berat badan', 'loss of appetite|kehilangan selera makan', 'yellowing of the eyes and skin (jaundice)|menguningnya mata dan kulit (penyakit kuning)', 'swelling in the ankles and tummy|bengkak di pergelangan kaki dan perut', 'confusion or drowsiness|kebingungan atau kantuk', 'vomiting blood or passing blood in your stools|muntah darah atau mengeluarkan darah di tinja Anda']"
Allergic rhinitis|Rinitis alergi,"['sneezing|bersin', 'a runny nose|pilek', 'a stuffy nose|hidung tersumbat', 'an itchy nose|hidung yang gatal', 'coughing|batuk', 'a sore or scratchy throat|tenggorokan yang sakit atau gatal', 'itchy eyes|mata gatal', 'watery eyes|mata berair']"
Allergies|Alergi,"['itchy, red, watering eyes (conjunctivitis)|gatal, merah, mata berair (konjungtivitis)', 'a raised, itchy, red rash (hives)|timbul, gatal, ruam merah (gatal-gatal)', 'swollen lips, tongue, eyes or face|bibir, lidah, mata atau wajah bengkak', 'tummy pain, feeling sick, vomiting or diarrhoea|sakit perut, rasa mual, muntah atau diare']"
Alzheimer's disease|Penyakit Alzheimer,"['Memory loss that disrupts daily life |Kehilangan memori yang mengganggu kehidupan sehari-hari', 'Challenges in planning or solving problems |Tantangan dalam merencanakan atau memecahkan masalah', 'Difficulty completing familiar tasks |Kesulitan menyelesaikan tugas yang sudah dikenal', 'Confusion with time or place |Kebingungan dengan waktu atau tempat', 'New problems with words in speaking or writing|Masalah baru dengan kata-kata dalam berbicara atau menulis']"
Anal cancer|Kanker dubur,"['Bleeding from the anus or rectum|Pendarahan dari anus atau rektum', 'A lump near the anus|Benjolan di dekat anus', 'Pain or pressure in the area around the anus|Nyeri atau tekanan di daerah sekitar anus', 'Itching or discharge from the anus|Gatal atau keluarnya cairan dari anus', 'A change in bowel habits|Perubahan kebiasaan buang air besar']"
Anaphylaxis|Anafilaksis,"['Low blood pressure (hypotension)|Tekanan darah rendah (hipotensi)', 'A weak and rapid pulse|Denyut nadi lemah dan cepat', 'Nausea, vomiting or diarrhea|Mual, muntah atau diare', 'Dizziness or fainting|Pusing atau pingsan']"
Ankylosing spondylitis|Spondilitis ankilosa,"['bone tissue formation|pembentukan jaringan tulang', 'fatigue|kelelahan', 'hunched back|membungkuk kembali', 'inflamed tendons|tendon yang meradang', 'inflammatory bowel disease|penyakit radang usus', 'physical deformity|deformitas fisik', 'or sleep disorder|atau gangguan tidur']"
Anorexia nervosa|Anoreksia nervosa,"['brittle nails|kuku rapuh', 'bruising|memar', 'depression|depresi', 'dieting|diet', 'dry hair|rambut Kering', 'dry skin|kulit kering', 'headache|sakit kepala', 'sensitivity to cold|kepekaan terhadap dingin', 'or slow heart rate|atau detak jantung lambat']"
Anxiety|Kegelisahan,"['anxiety|kegelisahan', 'excessive worry|kekhawatiran yang berlebihan', 'fear|takut', 'feeling of impending doom|perasaan malapetaka yang akan datang', 'insomnia|insomnia', 'nausea|mual', 'palpitations|palpitasi', 'or trembling|atau gemetar']"
Anxiety disorders in children|Gangguan kecemasan pada anak,"['finding it hard to concentrate|merasa sulit berkonsentrasi', 'not eating properly|tidak makan dengan benar', 'constantly worrying or having negative thoughts|terus-menerus khawatir atau memiliki pikiran negatif', 'Trouble falling asleep|Kesulitan tidur', 'Fear of being alone|Takut sendirian', 'Picking at skin|Memilih kulit', 'Nail biting|Menggigit kuku', 'Strong startle response|Respon kejut yang kuat', 'Being overly self-critical|Menjadi terlalu kritis terhadap diri sendiri']"
Appendicitis|Radang usus buntu,"['Nausea and vomiting|Mual dan muntah', 'Loss of appetite|Kehilangan selera makan']"
Arthritis|Radang sendi,"['Pain|Rasa sakit', 'Stiffness|Kekakuan', 'Swelling|Pembengkakan', 'Redness|Kemerahan', 'Decreased range of motion|Rentang gerak berkurang']"
Asbestosis|Asbestosis,"['Shortness of breath|Sesak napas', 'A persistent, dry cough|Batuk kering yang terus-menerus', 'Loss of appetite with weight loss|Kehilangan nafsu makan dengan penurunan berat badan', 'Chest tightness or pain|Sesak atau nyeri dada']"
Asthma|Asma,"['Shortness of breath|Sesak napas', 'Chest tightness or pain|Sesak atau nyeri dada']"
Atopic eczema|Eksim atopik,['itching|gatal']
Attention deficit hyperactivity disorder (ADHD)|Attention deficit hyperactivity disorder (ADHD),"['Impulsiveness|Impulsif', 'Disorganization and problems prioritizing|Disorganisasi dan memprioritaskan masalah', 'Poor time management skills|Keterampilan manajemen waktu yang buruk', 'Problems focusing on a task|Masalah fokus pada tugas', 'Trouble multitasking|Masalah multitasking', 'Excessive activity or restlessness|Aktivitas berlebihan atau kegelisahan', 'Poor planning|Perencanaan yang buruk', 'Low frustration tolerance|Toleransi frustrasi yang rendah']"
Autistic spectrum disorder (ASD)|Gangguan spektrum autistik (ASD),"['Making little or inconsistent eye contact|Membuat kontak mata yang sedikit atau tidak konsisten', 'Tending not to look at or listen to people|Cenderung tidak melihat atau mendengarkan orang']"
Bacterial vaginosis|Bakteri vaginosis,"['Thin, gray, white or green vaginal discharge|Keputihan tipis, abu-abu, putih atau hijau', 'Foul-smelling ""fishy"" vaginal odor|Bau vagina ""amis"" yang tidak sedap', 'Vaginal itching|Gatal vagina', 'Burning during urination|Terbakar saat buang air kecil']"
Benign prostate enlargement|Pembesaran prostat jinak,"['Frequent or urgent need to urinate|Sering atau mendesak ingin buang air kecil', 'Difficulty starting urination|Kesulitan mulai buang air kecil', 'Dribbling at the end of urination|Dribbling di akhir buang air kecil', 'Inability to completely empty the bladder|Ketidakmampuan untuk mengosongkan kandung kemih sepenuhnya']"
Bile duct cancer (cholangiocarcinoma)|Kanker saluran empedu (kolangiokarsinoma),"['Intensely itchy skin|Kulit sangat gatal', 'White-colored stools|Feses berwarna putih', 'Fatigue|Kelelahan', 'Abdominal pain|Sakit perut', 'Unintended weight loss|Penurunan berat badan yang tidak diinginkan']"
Bipolar disorder|Gangguan bipolar,"['Abnormally upbeat, jumpy or wired|Secara tidak normal ceria, gelisah atau kaku', 'Increased activity, energy or agitation|Peningkatan aktivitas, energi atau agitasi', 'Decreased need for sleep|Penurunan kebutuhan tidur', 'Unusual talkativeness|Banyak bicara yang tidak biasa', 'Racing thoughts|Pikiran balap', 'Distractibility|Distractibility']"
Bladder cancer|Kanker kandung kemih,"['Blood or blood clots in the urine|Darah atau bekuan darah di urin', 'Pain or burning sensation during urination|Nyeri atau sensasi terbakar saat buang air kecil', 'Frequent urination|Sering buang air kecil', 'Lower back pain on 1 side of the body|Nyeri punggung bawah pada 1 sisi tubuh']"
Blood poisoning (sepsis)|Keracunan darah (sepsis),"['delirium|igauan', 'fast heart rate|detak jantung cepat', 'insufficient urine production|produksi urin tidak mencukupi', 'organ dysfunction|disfungsi organ', 'skin discoloration|perubahan warna kulit', 'or sleepiness|atau kantuk']"
Bone cancer|Kanker tulang,"['Bone pain|Sakit tulang', 'Swelling and tenderness near the affected area|Pembengkakan dan nyeri di dekat area yang terkena', 'Weakened bone, leading to fracture|Tulang melemah, menyebabkan patah tulang', 'Fatigue|Kelelahan', 'Unintended weight loss|Penurunan berat badan yang tidak diinginkan']"
Bone cancer: Teenagers and young adults|Kanker tulang: Remaja dan dewasa muda,"['reduced movement |gerakan berkurang', 'a broken bone|patah tulang']"
Bowel cancer|Kanker usus,"['Unexplained weight loss|Penurunan berat badan yang tidak bisa dijelaskan', 'Extreme tiredness for no obvious reason|Kelelahan yang ekstrim tanpa alasan yang jelas', 'A pain or lump in your tummy|Nyeri atau benjolan di perut Anda', 'Rectal bleeding|Pendarahan rektal', 'Dark stools, or blood in the stool|Tinja berwarna gelap, atau darah di tinja']"
Bowel incontinence|Inkontinensia usus,"['Constipation |Sembelit', 'Muscle injury or weakness |Cedera atau kelemahan otot', 'Nerve damage |Kerusakan saraf', 'Neurologic diseases |Penyakit neurologis', 'Loss of stretch in the rectum |Hilangnya regangan di rektum', 'Hemorrhoids |Wasir', 'Rectal prolapse|Prolaps rektum']"
Brain tumours|Tumor otak,"['Personality or memory changes|Kepribadian atau perubahan memori', 'Nausea or vomiting|Mual atau muntah', 'Fatigue|Kelelahan', 'Drowsiness|Kantuk', 'Sleep problems|Masalah tidur', 'Memory problems|Masalah memori']"
Brain tumours: Children|Tumor otak: Anak-anak,"['3: Sleepiness |3: Kantuk', '4: Vision, Hearing or Speech Changes |4: Penglihatan, Pendengaran atau Perubahan Ucapan', '5: Personality Changes |5: Perubahan Kepribadian', '6: Balance Problems |6: Masalah Keseimbangan', '7: Seizures |7: Kejang', '8: Increased Head Size|8: Ukuran Kepala Meningkat']"
Brain tumours: Teenagers and young adults|Tumor otak: Remaja dan dewasa muda,"['Frequent headaches|Sering sakit kepala', 'Drowsiness or fatigue|Mengantuk atau kelelahan', 'Problems with vision, balance or coordination|Masalah dengan visi, keseimbangan atau koordinasi', 'Tingling or weakness in the arms or legs|Kesemutan atau kelemahan di lengan atau tungkai']"
Breast cancer (female)|Kanker payudara (wanita),"['A lump or mass in the breast|Benjolan atau massa di payudara', 'Skin irritation or dimpling|Iritasi kulit atau lesung pipit', 'Breast or nipple pain|Nyeri payudara atau puting', 'Nipple retraction (turning inward)|Retraksi puting (berputar ke dalam)', 'Nipple discharge|Keluarnya cairan dari puting']"
Breast cancer (male)|Kanker payudara (pria),"['Skin dimpling or puckering|Kulit lesung atau kerutan', 'Nipple retraction (turning inward)|Retraksi puting (berputar ke dalam)', 'Redness or scaling of the nipple or breast skin|Kemerahan atau bersisik pada puting susu atau kulit payudara', 'Discharge from the nipple|Keluarnya cairan dari puting']"
Bronchiectasis|Bronkiektasis,"['A daily cough that occurs over months or years|Batuk harian yang terjadi selama berbulan-bulan atau bertahun-tahun', 'Chest pain|Nyeri dada', 'Coughing up yellow or green mucus daily|Batuk lendir kuning atau hijau setiap hari', 'Fatigue, feeling run-down or tired|Kelelahan, merasa lesu atau lelah', 'Fevers and/or chills|Demam dan / atau menggigil', 'Wheezing or whistling sound while you breathe|Suara mengi atau bersiul saat Anda bernapas']"
Bronchitis|Bronchitis,"['Cough|Batuk', 'Fatigue|Kelelahan', 'Shortness of breath|Sesak napas', 'Slight fever and chills|Demam ringan dan menggigil', 'Chest discomfort|Ketidaknyamanan dada', 'wheezing|mengi', 'shortness of breath|sesak napas', 'sore ribs and stomach due to coughing|sakit rusuk dan perut karena batuk', 'sore throat|sakit tenggorokan', 'nasal congestion|hidung tersumbat', 'a headache|sakit kepala', 'body aches|pegal-pegal']"
Bulimia|Bulimia,"['abnormality of taste|kelainan rasa', 'depression|depresi', 'poor self-esteem|harga diri yang buruk', 'or sore throat|atau sakit tenggorokan']"
Bunion|Bunion,['Ongoing pain or pain that comes and goes|Sakit atau nyeri yang datang dan pergi']
Carcinoid syndrome and carcinoid tumours|Sindrom karsinoid dan tumor karsinoid,"['Abdominal pain|Sakit perut', 'Diarrhea|Diare', 'Rectal bleeding|Pendarahan rektal', 'Rectal pain|Nyeri rektal', 'Facial flushing (redness and warm feeling)|Kemerahan pada wajah (kemerahan dan perasaan hangat)', 'Severe diarrhea|Diare berat', 'Wheezing|Desah', 'Fast heartbeat|Detak jantung cepat']"
Catarrh|Penyakit selesema,"['constant need to clear your throat|kebutuhan konstan untuk membersihkan tenggorokan Anda', 'feeling that your throat is blocked|merasa tenggorokan Anda tersumbat', 'blocked or stuffy nose that you cannot clear|hidung tersumbat atau tersumbat yang tidak bisa Anda bersihkan', 'runny nose|pilek', 'persistent cough|batuk terus-menerus', 'headache or facial pain|sakit kepala atau nyeri wajah', 'reduced sense of smell and taste|berkurangnya indera penciuman dan perasa']"
Cellulitis|Selulitis,"['Red area of skin that tends to expand|Area kulit merah yang cenderung membesar', 'Swelling|Pembengkakan', 'Tenderness|Kelembutan', 'Pain|Rasa sakit', 'Warmth|Kehangatan', 'Fever|Demam', 'Red spots|Bintik merah', 'Blisters|Lepuh']"
Cervical cancer|Kanker serviks,"['Increased vaginal discharge|Peningkatan keputihan', 'Pain during sexual intercourse|Nyeri saat berhubungan seksual', 'Bleeding after menopause|Pendarahan setelah menopause', 'Unexplained, persistent pelvic and/or back pain|Nyeri panggul dan / atau punggung yang tidak dapat dijelaskan, persisten']"
Chest infection|Infeksi dada,"['a persistent cough|batuk terus-menerus', 'breathlessness or rapid and shallow breathing|sesak napas atau pernapasan cepat dan dangkal', 'wheezing|mengi', 'a high temperature (fever)|suhu tinggi (demam)', 'a rapid heartbeat|detak jantung yang cepat', 'chest pain or tightness|nyeri dada atau sesak', 'feeling confused and disorientated|merasa bingung dan bingung']"
Chest pain|Nyeri dada,"['Shortness of breath|Sesak napas', 'Cold sweats|Keringat dingin', 'Dizziness or weakness|Pusing atau lemas']"
Chickenpox|Cacar air,"['Fever|Demam', 'Loss of appetite|Kehilangan selera makan', 'Headache|Sakit kepala']"
Chilblains|Bengkak karena kedinginan,"['Possible blistering or skin ulcers|Kemungkinan melepuh atau bisul kulit', 'Swelling of your skin|Pembengkakan kulit Anda', 'Burning sensation on your skin|Sensasi terbakar di kulit Anda']"
Chronic fatigue syndrome|Sindrom kelelahan kronis,"['sleep problems|masalah tidur', 'muscle or joint pain|nyeri otot atau sendi', 'headaches|sakit kepala', 'a sore throat or sore glands that are not swollen|sakit tenggorokan atau sakit kelenjar yang tidak bengkak', 'problems thinking, remembering or concentrating|masalah berpikir, mengingat atau berkonsentrasi', 'flu-like symptoms|gejala seperti flu', 'feeling dizzy or sick|merasa pusing atau mual', 'fast or irregular heartbeats (heart palpitations)|detak jantung cepat atau tidak teratur (palpitasi jantung)']"
Chronic kidney disease|Penyakit ginjal kronis,"['weight loss and poor appetite|penurunan berat badan dan nafsu makan yang buruk', 'shortness of breath|sesak napas', 'tiredness|kelelahan', 'blood in your pee (urine)|darah di kencingmu (urin)', 'an increased need to pee – particularly at night|peningkatan kebutuhan untuk buang air kecil - terutama di malam hari', 'difficulty sleeping (insomnia)|kesulitan tidur (insomnia)', 'itchy skin|kulit yang gatal']"
Chronic lymphocytic leukaemia|Leukemia limfositik kronis,"['getting infections often|sering terkena infeksi', 'bleeding and bruising more easily than normal|lebih mudah berdarah dan memar dari biasanya', 'a high temperature|suhu tinggi', 'night sweats|keringat malam', 'swollen glands in your neck, armpits or groin|kelenjar bengkak di leher, ketiak atau selangkangan', 'swelling and discomfort in your tummy|bengkak dan ketidaknyamanan di perut Anda', 'unintentional weight loss|penurunan berat badan yang tidak disengaja', 'Enlarged, but painless, lymph nodes|Kelenjar getah bening membesar, tapi tidak menimbulkan rasa sakit', 'Fatigue|Kelelahan', 'Fever|Demam', 'Night sweats|Keringat malam', 'Weight loss|Penurunan berat badan', 'Frequent infections|Infeksi yang sering']"
Chronic myeloid leukaemia|Leukemia myeloid kronis,"['Weakness|Kelemahan', 'Fatigue|Kelelahan', 'Night sweats|Keringat malam', 'Weight loss|Penurunan berat badan', 'Fever|Demam', 'Pain or a sense of ""fullness"" in the belly|Nyeri atau rasa ""kenyang"" di perut', 'tiredness|kelelahan', 'weight loss|penurunan berat badan', 'night sweats|keringat malam', 'feeling full after small meals|merasa kenyang setelah makan kecil', 'pale skin and shortness of breath|kulit pucat dan sesak napas', 'a high temperature|suhu tinggi', 'bruising and bleeding easily|mudah memar dan berdarah']"
Chronic obstructive pulmonary disease|Penyakit paru obstruktif kronis,"['Wheezing|Desah', 'Chest tightness|Sesak dada', 'Frequent respiratory infections|Infeksi saluran pernafasan yang sering', 'Lack of energy|Kekurangan energi', 'Unintended weight loss (in later stages)|Penurunan berat badan yang tidak disengaja (pada tahap selanjutnya)', 'Swelling in ankles, feet or legs|Bengkak di pergelangan kaki, tungkai atau tungkai']"
Chronic pancreatitis|Pankreatitis kronis,"['Diarrhea or oily stools|Diare atau tinja berminyak', 'Nausea and vomiting|Mual dan muntah', 'Weight loss|Penurunan berat badan']"
Cirrhosis|Sirosis,"['Fatigue|Kelelahan', 'Easily bleeding or bruising|Mudah berdarah atau memar', 'Loss of appetite|Kehilangan selera makan', 'Nausea|Mual', 'Swelling in your legs, feet or ankles (edema)|Pembengkakan di tungkai, kaki atau pergelangan kaki (edema)', 'Weight loss|Penurunan berat badan', 'Itchy skin|Kulit yang gatal']"
Clostridium difficile|Clostridium difficile,"['Fever|Demam', 'Stomach tenderness or pain|Sakit perut atau nyeri', 'Loss of appetite|Kehilangan selera makan', 'Nausea|Mual', 'Toxic megacolon |Megakolon beracun', 'Death|Kematian']"
Coeliac disease|Penyakit seliaka,"['Nausea and vomiting|Mual dan muntah', 'Chronic diarrhea|Diare kronis', 'Swollen belly|Perut bengkak', 'Constipation|Sembelit', 'Gas|Gas', 'Pale, foul-smelling stools|Kotoran pucat dan berbau busuk']"
Cold sore|Herpes simpleks,['Oozing and crusting|Mengalir dan mengeras']
Coma|Koma,"['Closed eyes|Mata tertutup', 'Irregular breathing|Nafas tidak teratur']"
Common cold|Flu biasa,"['chest pressure|tekanan dada', 'headache|sakit kepala', 'swollen lymph nodes|kelenjar getah bening bengkak', 'or throat irritation|atau iritasi tenggorokan']"
Common heart conditions|Kondisi jantung umum,['Shortness of breath|Sesak napas']
Congenital heart disease|Penyakit jantung bawaan,"['a blue tinge to the skin (cyanosis)|semburat biru pada kulit (sianosis)', 'rapid breathing|pernapasan cepat', 'rapid heartbeat|detak jantung cepat', 'swelling in the legs, tummy and around the eyes|bengkak di kaki, perut, dan di sekitar mata']"
Conjunctivitis|Konjungtivitis,"['Redness in the white of the eye or inner eyelid|Kemerahan di bagian putih mata atau kelopak mata bagian dalam', 'Swollen conjunctiva|Konjungtiva bengkak', 'More tears than usual|Lebih banyak air mata dari biasanya', 'Green or white discharge from the eye|Keluarnya cairan berwarna hijau atau putih dari mata', 'Itchy eyes|Mata gatal', 'Burning eyes|Mata membara', 'Blurred vision|Penglihatan kabur']"
Constipation|Sembelit,"['Passing fewer than three stools a week|Buang air besar kurang dari tiga kali seminggu', 'Having lumpy or hard stools|Feses yang menggumpal atau keras', 'Straining to have bowel movements|Mengejan untuk buang air besar']"
Cough|Batuk,"['A runny or stuffy nose|Hidung meler atau tersumbat', 'Frequent throat clearing and sore throat|Sering berdehem dan sakit tenggorokan', 'Hoarseness|Suara serak', 'Wheezing and shortness of breath|Mengi dan sesak napas', 'Heartburn or a sour taste in your mouth|Mulas atau rasa asam di mulut Anda', 'Wheezing or difficulty breathing|Mengi atau kesulitan bernapas', 'Fever|Demam', 'Chest pain|Nyeri dada', 'Coughing up blood or yellow or green phlegm|Batuk darah atau dahak kuning atau hijau', 'Coughing so hard it makes you vomit|Batuk sangat keras sampai membuat Anda muntah', 'You have a cough with unexplained weight loss|Anda batuk dengan penurunan berat badan yang tidak bisa dijelaskan']"
